County,Date,Count
Citrus,2020-09-09,3
Citrus,2020-09-10,1
Citrus,2020-09-14,1
Citrus,2020-09-15,1
Citrus,2020-09-16,4
Citrus,2020-09-17,4
Citrus,2020-09-20,2
Citrus,2020-09-22,1
Citrus,2020-09-30,1
Citrus,2020-10-03,1
Citrus,2020-10-06,1
Citrus,2020-10-07,3
Citrus,2020-10-09,1
Citrus,2020-10-16,1
Citrus,2020-10-19,1
Citrus,2020-10-21,1
Citrus,2020-10-22,1
Citrus,2020-10-28,1
Citrus,2020-10-29,1
Citrus,2020-10-31,2
Citrus,2020-11-04,1
Citrus,2020-11-06,1
Citrus,2020-11-09,1
Clay,2020-03-14,1
Clay,2020-03-20,1
Clay,2020-03-22,1
Clay,2020-03-24,1
Clay,2020-03-25,2
Clay,2020-03-27,1
Clay,2020-03-29,1
Clay,2020-04-06,1
Clay,2020-04-07,2
Clay,2020-04-08,1
Clay,2020-04-09,2
Clay,2020-04-10,2
Clay,2020-04-15,1
Clay,2020-04-16,3
Clay,2020-04-17,1
Clay,2020-04-19,2
Clay,2020-04-20,1
Clay,2020-04-22,1
Clay,2020-04-23,1
Clay,2020-04-24,1
Clay,2020-04-27,1
Clay,2020-05-03,1
Clay,2020-05-08,2
Clay,2020-05-19,1
Clay,2020-05-20,2
Clay,2020-06-19,1
Clay,2020-06-21,1
Clay,2020-06-23,1
Clay,2020-06-27,1
Clay,2020-07-01,1
Clay,2020-07-02,2
Clay,2020-07-03,1
Clay,2020-07-04,2
Clay,2020-07-05,2
Clay,2020-07-06,1
Clay,2020-07-07,3
Clay,2020-07-08,2
Clay,2020-07-09,2
Clay,2020-07-10,1
Clay,2020-07-12,3
Clay,2020-07-15,2
Clay,2020-07-16,5
Clay,2020-07-17,1
Clay,2020-07-18,1
Clay,2020-07-19,1
Clay,2020-07-23,2
Clay,2020-07-24,4
Clay,2020-07-25,2
Clay,2020-07-26,2
Clay,2020-07-27,2
Clay,2020-07-29,1
Clay,2020-07-30,1
Clay,2020-08-01,1
Clay,2020-08-02,2
Clay,2020-08-03,1
Clay,2020-08-04,2
Clay,2020-08-05,4
Clay,2020-08-06,4
Clay,2020-08-07,1
Clay,2020-08-10,2
Clay,2020-08-11,1
Clay,2020-08-12,1
Clay,2020-08-13,1
Clay,2020-08-15,1
Clay,2020-08-16,1
Clay,2020-08-21,2
Clay,2020-08-26,1
Clay,2020-08-27,2
Clay,2020-08-31,1
Clay,2020-09-05,1
Clay,2020-09-06,2
Clay,2020-09-12,1
Clay,2020-09-18,1
Clay,2020-09-19,1
Clay,2020-09-21,1
Clay,2020-09-22,2
Clay,2020-09-23,4
Clay,2020-09-24,2
Clay,2020-10-01,1
Clay,2020-10-02,1
Clay,2020-10-05,1
